Order ID,Order Date,Ship Date,Ship Mode,Factory,State/Province,Region,Route_State,Route_Region,Shipping Lead Time,Delay Status,Shipping Speed Category,Sales,Units,Cost,Gross Profit,Dynamic Delay Status,Order Month,Order Year,Order Month Name
US-2022-146262-CHO-MIL-31000,2024-01-02,2024-01-05,Standard Class,Wicked Choccy's,Ohio,Atlantic,Wicked Choccy's → Ohio,Wicked Choccy's → Atlantic,3,On-Time,Slow,29.25,9,10.26,18.99,On-Time,2024-01,2024,Jan 2024
US-2022-146262-CHO-TRI-54000,2024-01-02,2024-01-07,Standard Class,Wicked Choccy's,Ohio,Atlantic,Wicked Choccy's → Ohio,Wicked Choccy's → Atlantic,5,On-Time,Slow,11.25,3,3.9,7.35,On-Time,2024-01,2024,Jan 2024
US-2022-146262-CHO-NUT-13000,2024-01-02,2024-01-09,Standard Class,Lot's O' Nuts,Ohio,Atlantic,Lot's O' Nuts → Ohio,Lot's O' Nuts → Atlantic,7,Delayed,Slow,6.98,2,2.0,4.98,Delayed,2024-01,2024,Jan 2024
US-2022-104514-CHO-MIL-31000,2024-01-02,2024-01-04,Second Class,Wicked Choccy's,Delaware,Atlantic,Wicked Choccy's → Delaware,Wicked Choccy's → Atlantic,2,On-Time,Medium,6.5,2,2.28,4.22,On-Time,2024-01,2024,Jan 2024
US-2022-104514-CHO-SCR-58000,2024-01-02,2024-01-04,Second Class,Lot's O' Nuts,Delaware,Atlantic,Lot's O' Nuts → Delaware,Lot's O' Nuts → Atlantic,2,On-Time,Medium,10.8,3,3.3,7.5,On-Time,2024-01,2024,Jan 2024
US-2022-146262-CHO-FUD-51000,2024-01-02,2024-01-09,Standard Class,Lot's O' Nuts,Ohio,Atlantic,Lot's O' Nuts → Ohio,Lot's O' Nuts → Atlantic,7,Delayed,Slow,7.2,2,2.4,4.8,Delayed,2024-01,2024,Jan 2024
US-2022-104514-CHO-MIL-31000,2024-01-02,2024-01-07,Second Class,Wicked Choccy's,Delaware,Atlantic,Wicked Choccy's → Delaware,Wicked Choccy's → Atlantic,5,On-Time,Medium,9.75,3,3.42,6.33,On-Time,2024-01,2024,Jan 2024
US-2022-146262-CHO-NUT-13000,2024-01-02,2024-01-05,Standard Class,Lot's O' Nuts,Ohio,Atlantic,Lot's O' Nuts → Ohio,Lot's O' Nuts → Atlantic,3,On-Time,Slow,17.45,5,5.0,12.45,On-Time,2024-01,2024,Jan 2024
US-2022-141243-CHO-NUT-13000,2024-01-03,2024-01-06,Second Class,Lot's O' Nuts,Texas,Interior,Lot's O' Nuts → Texas,Lot's O' Nuts → Interior,3,On-Time,Medium,17.45,5,5.0,12.45,On-Time,2024-01,2024,Jan 2024
US-2022-121097-CHO-MIL-31000,2024-01-03,2024-01-10,Standard Class,Wicked Choccy's,Texas,Interior,Wicked Choccy's → Texas,Wicked Choccy's → Interior,7,Delayed,Slow,6.5,2,2.28,4.22,Delayed,2024-01,2024,Jan 2024
US-2022-141243-CHO-SCR-58000,2024-01-03,2024-01-06,Second Class,Lot's O' Nuts,Texas,Interior,Lot's O' Nuts → Texas,Lot's O' Nuts → Interior,3,On-Time,Medium,10.8,3,3.3,7.5,On-Time,2024-01,2024,Jan 2024
US-2022-141243-CHO-MIL-31000,2024-01-03,2024-01-08,Second Class,Wicked Choccy's,Texas,Interior,Wicked Choccy's → Texas,Wicked Choccy's → Interior,5,On-Time,Medium,29.25,9,10.26,18.99,On-Time,2024-01,2024,Jan 2024
US-2021-103800-CHO-MIL-31000,2024-01-03,2024-01-09,Standard Class,Wicked Choccy's,Texas,Interior,Wicked Choccy's → Texas,Wicked Choccy's → Interior,6,Delayed,Slow,6.5,2,2.28,4.22,Delayed,2024-01,2024,Jan 2024
US-2022-104241-CHO-TRI-54000,2024-01-04,2024-01-10,Standard Class,Wicked Choccy's,Virginia,Gulf,Wicked Choccy's → Virginia,Wicked Choccy's → Gulf,6,Delayed,Slow,52.5,14,18.2,34.3,Delayed,2024-01,2024,Jan 2024
US-2022-149811-CHO-TRI-54000,2024-01-04,2024-01-08,Standard Class,Wicked Choccy's,Minnesota,Interior,Wicked Choccy's → Minnesota,Wicked Choccy's → Interior,4,On-Time,Slow,18.75,5,6.5,12.25,On-Time,2024-01,2024,Jan 2024
US-2022-149811-CHO-FUD-51000,2024-01-04,2024-01-09,Standard Class,Lot's O' Nuts,Minnesota,Interior,Lot's O' Nuts → Minnesota,Lot's O' Nuts → Interior,5,On-Time,Slow,10.8,3,3.6,7.2,On-Time,2024-01,2024,Jan 2024
US-2021-112326-CHO-TRI-54000,2024-01-04,2024-01-11,Standard Class,Wicked Choccy's,Illinois,Interior,Wicked Choccy's → Illinois,Wicked Choccy's → Interior,7,Delayed,Slow,7.5,2,2.6,4.9,Delayed,2024-01,2024,Jan 2024
