Route_State,Total_Shipments,Avg_Lead_Time,Lead_Time_Std,Min_Lead_Time,Max_Lead_Time,Efficiency_Rank
The Other Factory → North Carolina,1,0.0,,0,0,1.0
The Other Factory → Kentucky,2,1.0,1.41,0,2,2.0
The Other Factory → Oregon,2,1.5,0.71,1,2,3.0
Lot's O' Nuts → West Virginia,2,1.5,2.12,0,3,3.0
The Other Factory → Arizona,2,2.0,0.0,2,2,4.0
The Other Factory → Nevada,1,2.0,,2,2,4.0
The Other Factory → New Hampshire,2,2.0,0.0,2,2,4.0
Sugar Shack → Tennessee,1,2.0,,2,2,4.0
Secret Factory → New Mexico,2,2.0,1.41,1,3,4.0
Secret Factory → Colorado,7,2.14,1.35,0,4,5.0
